id,公司名稱,縣市,行政區,里別,行政區平日夜間停留人數,行政區平日日間活動人數,行政區假日夜間停留人數,行政區假日日間活動人數,里人均收入中位數,里人口數,發票張數指標,發票銷售額指標,500公尺內的熱鬧據點數,最近的熱鬧據點類型,最近的熱鬧據點距離,500公尺內部競爭(同公司店數),500公尺外部競爭(不同公司店數),租金,競爭壓力指標,生存難度,競爭優勢,是否便利商店,people_per_store,day_night_flow,登記現況
5066,統一超商股份有限公司,臺北市,大安區,義安里,293863,421212,288073,332468,899,5143,96.5,94.5,3.0,學校,281.1384054600326,17.0,24.0,119062.0,0.004665629860031105,2857488.0,0.68,1,122.45238095238095,1.4333569270138566,營運中
5979,統一超商股份有限公司,臺北市,內湖區,葫洲里,268313,365903,262226,278057,816,7161,94.0,95.5,3.0,捷運站,111.61811053971766,5.0,11.0,35655.0,0.0015358838313320302,392205.0,0.4166666666666667,1,421.2352941176471,1.3637119196165686,營運中
3393,全家便利商店股份有限公司,新北市,新莊區,中原里,438175,374258,436655,417962,634,16590,99.0,99.0,3.0,學校,124.22048535361346,8.0,8.0,34489.0,0.000482189138689651,275912.0,0.8888888888888888,1,975.8823529411765,0.8541271087416928,營運中
2413,萊爾富國際股份有限公司,新北市,板橋區,新海里,571963,464101,570948,541426,442,3251,48.5,42.0,3.0,學校,262.8969805549334,5.0,30.0,19596.0,0.00922509225092251,587880.0,0.16129032258064516,1,90.30555555555556,0.8114164527837416,營運中
5281,全聯實業股份有限公司,臺北市,中山區,江寧里,293366,427268,286848,317251,735,6594,93.5,92.0,3.0,學校,395.8630270471168,0.0,51.0,46616.0,0.007733131159969674,2377416.0,0.0,0,126.8076923076923,1.4564282962978112,營運中
1620,統一超商股份有限公司,新北市,永和區,得和里,225926,165003,225638,209626,609,4088,58.0,74.5,3.0,學校,37.381310058919645,12.0,22.0,24181.0,0.005380288579114698,531982.0,0.5217391304347826,1,116.8,0.7303376754438381,營運中
3739,統一超商股份有限公司,新北市,新莊區,和平里,438175,374258,436655,417962,447,4622,49.0,59.5,2.0,學校,267.67328607811163,11.0,31.0,17570.0,0.006705602422669262,544670.0,0.34375,1,107.48837209302326,0.8541271087416928,營運中
5886,統一超商股份有限公司,臺北市,中正區,水源里,179530,309701,171990,217630,677,2825,89.0,84.0,4.0,學校,124.42218103031972,3.0,9.0,42503.0,0.0031847133757961785,382527.0,0.3,1,217.30769230769232,1.7250558399385065,廢止
2214,三商家購股份有限公司,新北市,板橋區,崑崙里,571963,464101,570948,541426,481,9949,78.0,89.5,1.0,學校,355.9842047901027,0.0,15.0,17680.0,0.001507537688442211,265200.0,0.0,0,621.8125,0.8114164527837416,營運中
1557,全聯實業股份有限公司,新北市,永和區,永貞里,225926,165003,225638,209626,587,3315,84.0,84.5,5.0,學校,166.0589024633234,1.0,38.0,24734.0,0.011459589867310011,939892.0,0.02564102564102564,0,82.875,0.7303376754438381,營運中
3109,統一超商股份有限公司,新北市,新店區,中興里,336985,305033,335622,323247,575,7840,61.0,72.0,2.0,學校,209.88609909810884,6.0,15.0,28667.0,0.0019130212983037877,430005.0,0.375,1,356.3636363636364,0.9051800371528788,營運中
1478,統一超商股份有限公司,新北市,永和區,信義里,225926,165003,225638,209626,651,2435,50.5,47.0,3.0,捷運站,422.1258158424,15.0,31.0,22600.0,0.012725779967159278,700600.0,0.46875,1,51.808510638297875,0.7303376754438381,營運中
4266,來來超商股份有限公司,新北市,鶯歌區,大湖里,94412,86832,90389,85085,409,4864,59.5,54.5,0.0,學校,619.3958042470882,1.0,5.0,12594.0,0.0010277492291880781,62970.0,0.16666666666666666,1,694.8571428571429,0.9197038543420927,廢止
5454,來來超商股份有限公司,臺北市,中山區,力行里,293366,427268,286848,317251,776,5814,94.5,95.0,2.0,捷運站,403.9579812127914,3.0,50.0,55843.0,0.008598452278589854,2792150.0,0.058823529411764705,1,107.66666666666667,1.4564282962978112,廢止
489,統一超商股份有限公司,新北市,三重區,富貴里,425020,346194,423029,390770,705,7509,69.5,79.5,3.0,學校,266.5153602405911,2.0,4.0,37265.0,0.0005326231691078562,149060.0,0.4,1,1072.7142857142858,0.8145338700911249,營運中
7076,台灣屈臣氏個人用品商店股份有限公司,臺北市,信義區,國業里,222097,305471,220892,252072,691,7028,61.5,66.5,3.0,學校,225.2195187456136,1.0,41.0,31835.0,0.005832977663963579,1305235.0,0.023809523809523808,0,163.4418604651163,1.3753883420832245,營運中
2606,統一超商股份有限公司,新北市,林口區,湖南里,141826,131771,141559,143662,838,32986,98.0,98.5,0.0,學校,555.5938342551058,5.0,7.0,36155.0,0.0002122048079546488,253085.0,0.625,1,2537.3846153846152,0.9290967164221199,營運中
5588,全家便利商店股份有限公司,臺北市,中山區,江山里,293366,427268,286848,317251,674,7065,85.5,91.0,1.0,捷運站,446.6534365462568,12.0,37.0,49883.0,0.0052363430512312485,1845671.0,0.3157894736842105,1,141.3,1.4564282962978112,廢止
6394,全聯實業股份有限公司,臺北市,文山區,忠順里,243331,203310,238449,228367,712,4027,76.5,57.0,2.0,學校,277.8996362294777,1.0,30.0,39379.0,0.007447864945382324,1181370.0,0.03225806451612903,0,125.84375,0.8355251261650749,營運中
3851,全家便利商店股份有限公司,新北市,樹林區,文林里,186549,176578,187333,179473,469,5055,32.0,31.5,1.0,學校,78.56417097209379,1.0,11.0,18462.0,0.002175632911392405,203082.0,0.08333333333333333,1,388.84615384615387,0.9465451621549182,營運中
6506,統一超商股份有限公司,臺北市,北投區,永明里,231633,233324,227647,226700,730,4792,69.0,73.5,3.0,醫院,119.59550961794336,8.0,14.0,43043.0,0.0029209263509284373,602602.0,0.5333333333333333,1,208.34782608695653,1.0072959928162533,營運中
666,統一超商股份有限公司,新北市,土城區,員林里,237243,206153,237555,223005,721,9788,96.5,96.0,5.0,捷運站,366.5451014921452,12.0,19.0,23850.0,0.001940954132189192,453150.0,0.6,1,305.875,0.8689492674208832,營運中
3276,來來超商股份有限公司,新北市,新店區,香坡里,336985,305033,335622,323247,571,12362,79.0,83.5,0.0,學校,1244.4684815534577,0.0,3.0,18406.0,0.0002426595486532395,55218.0,0.0,1,3090.5,0.9051800371528788,廢止
